player_name,season,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,three_point_pct,free_throw_pct,plus_minus,all_star,prior_all_star_selections
Myles Turner,2019-20,IND,24.0,62,29.4,12.1,6.6,1.2,0.7,2.1,1.4,0.457,0.344,0.751,-0.1,0,0
Myles Turner,2020-21,IND,25.0,47,31.0,12.6,6.5,1.0,0.9,3.4,1.4,0.477,0.335,0.782,0.5,0,0
Myles Turner,2021-22,IND,26.0,42,29.4,12.9,7.1,1.0,0.7,2.8,1.3,0.509,0.333,0.752,-0.3,0,0
Myles Turner,2022-23,IND,27.0,62,29.4,18.0,7.5,1.4,0.6,2.3,1.7,0.548,0.373,0.783,-0.8,0,0
Myles Turner,2023-24,IND,28.0,77,27.0,17.1,6.9,1.3,0.5,1.9,1.4,0.524,0.358,0.773,2.9,0,0
Naji Marshall,2020-21,NOP,23.0,32,21.9,7.7,4.6,2.8,0.8,0.3,1.2,0.392,0.349,0.707,-0.9,0,0
Naji Marshall,2022-23,NOP,25.0,77,23.3,9.1,3.6,2.5,0.7,0.2,1.3,0.433,0.303,0.789,0.1,0,0
Naji Marshall,2023-24,NOP,26.0,66,19.0,7.1,3.6,1.9,0.7,0.2,1.0,0.463,0.387,0.791,3.1,0,0
Nassir Little,2021-22,POR,22.0,42,25.9,9.8,5.6,1.3,0.6,0.9,1.0,0.46,0.331,0.734,-0.5,0,0
Nassir Little,2022-23,POR,23.0,54,18.1,6.6,2.6,0.9,0.4,0.4,0.7,0.442,0.367,0.717,-3.5,0,0
Naz Reid,2019-20,MIN,20.0,30,16.5,9.0,4.1,1.2,0.6,0.7,0.7,0.412,0.33,0.698,0.2,0,0
Naz Reid,2020-21,MIN,21.0,70,19.2,11.2,4.6,1.0,0.5,1.1,1.0,0.523,0.351,0.693,-4.2,0,0
Naz Reid,2021-22,MIN,22.0,77,15.8,8.3,3.9,0.9,0.5,0.9,1.1,0.489,0.343,0.765,-1.2,0,0
Naz Reid,2022-23,MIN,23.0,68,18.4,11.5,4.9,1.1,0.6,0.8,1.4,0.537,0.346,0.677,-1.9,0,0
Naz Reid,2023-24,MIN,24.0,81,24.2,13.5,5.2,1.3,0.8,0.9,1.4,0.477,0.414,0.736,3.1,0,0
Nemanja Bjelica,2019-20,SAC,32.0,72,27.9,11.5,6.4,2.8,0.9,0.6,1.4,0.481,0.419,0.821,0.1,0,0
Nemanja Bjelica,2020-21,MIA,33.0,37,16.1,6.5,3.4,1.9,0.4,0.1,0.9,0.454,0.318,0.725,-1.8,0,0
Nemanja Bjelica,2021-22,GSW,34.0,71,16.1,6.1,4.1,2.2,0.6,0.4,1.2,0.468,0.362,0.728,1.8,0,0
Nerlens Noel,2019-20,OKC,26.0,61,18.5,7.4,4.9,0.9,1.0,1.5,1.1,0.684,0.333,0.755,0.4,0,0
Nerlens Noel,2020-21,NYK,27.0,64,24.2,5.1,6.4,0.7,1.1,2.2,1.0,0.614,0.0,0.714,0.0,0,0
Nic Claxton,2020-21,BKN,22.0,32,18.6,6.6,5.2,0.9,0.7,1.3,0.6,0.621,0.2,0.484,4.9,0,0
Nic Claxton,2021-22,BKN,23.0,47,20.7,8.7,5.6,0.9,0.5,1.1,0.8,0.674,0.0,0.581,-0.6,0,0
Nic Claxton,2022-23,BKN,24.0,76,29.9,12.6,9.2,1.9,0.9,2.5,1.3,0.705,0.0,0.541,1.6,0,0
Nic Claxton,2023-24,BKN,25.0,71,29.8,11.8,9.9,2.1,0.6,2.1,1.3,0.629,0.2,0.551,-3.9,0,0
Nick Richards,2022-23,CHA,25.0,65,18.7,8.2,6.4,0.6,0.2,1.1,0.9,0.629,1.0,0.749,-1.7,0,0
Nick Richards,2023-24,CHA,26.0,67,26.2,9.7,8.0,0.8,0.4,1.1,1.1,0.691,0.0,0.737,-6.4,0,0
Nickeil Alexander-Walker,2020-21,NOP,22.0,46,21.9,11.0,3.1,2.2,1.0,0.5,1.5,0.419,0.347,0.727,-1.1,0,0
Nickeil Alexander-Walker,2021-22,UTA,23.0,65,22.6,10.6,2.9,2.4,0.7,0.4,1.4,0.372,0.311,0.743,-1.7,0,0
Nickeil Alexander-Walker,2022-23,MIN,24.0,59,15.0,6.2,1.7,1.8,0.5,0.4,0.9,0.444,0.384,0.667,-0.9,0,0
Nickeil Alexander-Walker,2023-24,MIN,25.0,82,23.4,8.0,2.0,2.5,0.8,0.5,0.9,0.439,0.391,0.8,3.8,0,0
Nicolas Batum,2020-21,LAC,32.0,67,27.4,8.1,4.7,2.2,1.0,0.6,0.8,0.464,0.404,0.828,5.1,0,0
Nicolas Batum,2021-22,LAC,33.0,59,24.8,8.3,4.3,1.7,1.0,0.7,0.7,0.463,0.4,0.658,-2.2,0,0
Nicolas Batum,2022-23,LAC,34.0,78,21.9,6.1,3.8,1.6,0.7,0.6,0.6,0.42,0.391,0.708,2.1,0,0
Nicolas Batum,2023-24,PHI,35.0,60,25.5,5.3,4.1,2.1,0.8,0.6,0.7,0.453,0.395,0.714,3.0,0,0
Nicolo Melli,2019-20,NOP,29.0,60,17.4,6.6,3.0,1.4,0.6,0.4,0.8,0.421,0.335,0.74,-1.5,0,0
Nikola Jokić,2019-20,DEN,25.0,73,32.0,19.9,9.7,7.0,1.2,0.6,3.1,0.528,0.314,0.817,3.5,1,0
Nikola Jokić,2020-21,DEN,26.0,72,34.6,26.4,10.8,8.3,1.3,0.7,3.1,0.566,0.388,0.868,5.3,1,1
Nikola Jokić,2021-22,DEN,27.0,74,33.5,27.1,13.8,7.9,1.5,0.9,3.8,0.583,0.337,0.81,6.0,1,2
Nikola Jokić,2022-23,DEN,28.0,69,33.7,24.5,11.8,9.8,1.3,0.7,3.6,0.632,0.383,0.822,9.3,1,3
Nikola Jokić,2023-24,DEN,29.0,79,34.6,26.4,12.4,9.0,1.4,0.9,3.0,0.583,0.359,0.817,8.6,1,4
Nikola Jović,2023-24,MIA,21.0,46,19.5,7.7,4.2,2.0,0.5,0.3,0.9,0.452,0.399,0.702,3.2,0,0
Nikola Vučević,2019-20,ORL,29.0,62,32.2,19.6,10.9,3.6,0.9,0.8,1.4,0.477,0.339,0.784,0.8,0,0
Nikola Vučević,2020-21,CHI,30.0,70,33.5,23.4,11.7,3.8,0.9,0.7,1.8,0.477,0.4,0.84,-4.9,1,0
Nikola Vučević,2021-22,CHI,31.0,73,33.1,17.6,11.0,3.2,1.0,1.0,1.9,0.473,0.314,0.76,-0.7,0,1
Nikola Vučević,2022-23,CHI,32.0,82,33.5,17.6,11.0,3.2,0.7,0.7,1.7,0.52,0.349,0.835,-0.2,0,1
Nikola Vučević,2023-24,CHI,33.0,76,34.3,18.0,10.5,3.3,0.7,0.8,1.6,0.484,0.294,0.822,-2.4,0,1
Norman Powell,2019-20,TOR,27.0,52,28.4,16.0,3.7,1.8,1.2,0.4,1.5,0.495,0.399,0.843,2.8,0,0
Norman Powell,2020-21,POR,28.0,69,32.0,18.6,3.1,1.9,1.2,0.3,1.7,0.477,0.411,0.871,1.1,0,0
Norman Powell,2021-22,LAC,29.0,45,32.4,19.0,3.2,2.1,0.9,0.5,1.5,0.461,0.419,0.811,-4.9,0,0
Norman Powell,2022-23,LAC,30.0,60,26.1,17.0,2.9,1.8,0.8,0.3,1.7,0.479,0.397,0.812,-2.1,0,0
Norman Powell,2023-24,LAC,31.0,76,26.2,13.9,2.6,1.1,0.6,0.3,0.9,0.486,0.435,0.831,2.8,0,0
OG Anunoby,2019-20,TOR,22.0,69,29.9,10.6,5.3,1.6,1.4,0.7,1.1,0.505,0.39,0.706,4.0,0,0
OG Anunoby,2020-21,TOR,23.0,43,33.3,15.9,5.5,2.2,1.5,0.7,1.7,0.48,0.398,0.784,2.7,0,0
OG Anunoby,2021-22,TOR,24.0,48,36.0,17.1,5.5,2.6,1.5,0.5,1.7,0.443,0.363,0.754,2.8,0,0
OG Anunoby,2022-23,TOR,25.0,67,35.6,16.8,5.0,2.0,1.9,0.7,2.0,0.476,0.387,0.838,2.0,0,0
OG Anunoby,2023-24,NYK,26.0,50,34.0,14.7,4.2,2.1,1.4,0.7,1.6,0.489,0.382,0.753,7.8,0,0
Obi Toppin,2021-22,NYK,24.0,72,17.1,9.0,3.7,1.1,0.3,0.5,0.8,0.531,0.308,0.758,2.3,0,0
Obi Toppin,2022-23,NYK,25.0,67,15.7,7.4,2.8,1.0,0.3,0.2,0.6,0.446,0.344,0.809,0.9,0,0
Obi Toppin,2023-24,IND,26.0,82,21.1,10.3,3.9,1.6,0.6,0.5,0.8,0.573,0.403,0.77,1.7,0,0
Ochai Agbaji,2022-23,UTA,23.0,59,20.5,7.9,2.1,1.1,0.3,0.3,0.7,0.427,0.355,0.812,-0.3,0,0
Ochai Agbaji,2023-24,TOR,24.0,78,21.0,5.8,2.8,1.1,0.6,0.6,0.8,0.411,0.294,0.661,-3.2,0,0
Omari Spellman,2019-20,MIN,22.0,49,18.1,7.6,4.5,1.0,0.7,0.5,1.1,0.431,0.391,0.793,-2.9,0,0
Onyeka Okongwu,2021-22,ATL,21.0,48,20.7,8.2,5.9,1.1,0.6,1.3,0.9,0.69,0.0,0.727,2.3,0,0
Onyeka Okongwu,2022-23,ATL,22.0,80,23.1,9.9,7.2,1.0,0.7,1.3,1.0,0.638,0.308,0.781,0.8,0,0
Onyeka Okongwu,2023-24,ATL,23.0,55,25.5,10.2,6.8,1.3,0.5,1.1,0.8,0.611,0.333,0.793,-0.6,0,0
Oshae Brissett,2021-22,IND,24.0,67,23.3,9.1,5.3,1.1,0.7,0.4,0.8,0.411,0.35,0.695,-3.3,0,0
Oshae Brissett,2022-23,IND,25.0,65,16.7,6.1,3.4,0.7,0.5,0.2,0.5,0.386,0.31,0.717,0.3,0,0
Otto Porter Jr.,2021-22,GSW,29.0,63,22.2,8.2,5.7,1.5,1.1,0.5,0.6,0.464,0.37,0.803,3.7,0,0
P.J. Tucker,2019-20,HOU,35.0,72,34.3,6.9,6.6,1.6,1.1,0.5,1.0,0.415,0.358,0.813,2.2,0,0
P.J. Tucker,2020-21,MIL,36.0,52,26.1,3.7,3.9,1.2,0.8,0.4,0.8,0.373,0.336,0.75,-3.4,0,0
P.J. Tucker,2021-22,MIA,37.0,71,27.9,7.6,5.5,2.1,0.8,0.2,0.9,0.484,0.415,0.738,3.2,0,0
P.J. Tucker,2022-23,PHI,38.0,75,25.6,3.5,3.9,0.8,0.5,0.2,0.6,0.427,0.393,0.826,1.8,0,0
P.J. Tucker,2023-24,LAC,39.0,31,15.7,1.7,2.7,0.5,0.5,0.2,0.3,0.36,0.371,1.0,-0.8,0,0
P.J. Washington,2019-20,CHA,21.0,58,30.3,12.2,5.4,2.1,0.9,0.8,1.6,0.455,0.374,0.647,-3.8,0,0
P.J. Washington,2020-21,CHA,22.0,64,30.5,12.9,6.5,2.5,1.1,1.2,2.0,0.44,0.386,0.745,0.5,0,0
P.J. Washington,2021-22,CHA,23.0,65,27.2,10.3,5.2,2.3,0.9,0.9,1.3,0.47,0.365,0.716,2.2,0,0
P.J. Washington,2022-23,CHA,24.0,73,32.6,15.7,4.9,2.4,0.9,1.1,1.5,0.444,0.348,0.73,-5.1,0,0
P.J. Washington,2023-24,DAL,25.0,73,30.4,12.9,5.6,1.9,1.0,0.8,1.3,0.436,0.32,0.683,-1.8,0,0
PJ Dozier,2020-21,DEN,24.0,50,21.8,7.7,3.6,1.8,0.6,0.4,0.9,0.417,0.315,0.636,3.9,0,0
